country_code,sector_id,to_node,Industry,actual_capacity,unit_capacity,conversion_production,actual_capacity_converted,unit,2018
EE,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,227.74070734892925,TJ,277.78,63261.81368738556,mwh_yr,63261.81368738556
EE,transport-equipment,transport-equipment,transport-equipment-production-reference,198.50295495904052,TJ,277.78,55140.15082852227,mwh_yr,55140.15082852227
EE,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,1247.0927351412904,TJ,277.78,346417.41996754764,mwh_yr,346417.41996754764
EL,chemical,other-chemicals,other-chemicals-production-reference,40.64987556581421,kt ethylene eq.,1.0,40.64987556581421,kt_ethylene_eq_yr,40.64987556581421
EL,chemical,pharmaceuticals,pharmaceuticals-production-reference,30.0400998593048,kt ethylene eq.,1.0,30.0400998593048,kt_ethylene_eq_yr,30.0400998593048
EL,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,9635.409319174416,TJ,277.78,2676524.000680269,mwh_yr,2676524.000680269
EL,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,2004.4509580039244,TJ,277.78,556796.3871143301,mwh_yr,556796.3871143301
EL,non-ferrous-metals,alumina,alumina-production-reference,720.0,kt,1.0,720.0,kt_yr,720.0
EL,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,184.0,kt,1.0,184.0,kt_yr,184.0
EL,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
EL,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,274.2,kt lead eq.,1.0,274.2,kt_lead_eq_yr,274.2
EL,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,3325.0,kt bricks eq.,1.0,3325.0,kt_bricks_eq_yr,3325.0
EL,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,6511.38289352864,TJ,277.78,1808731.9401643854,mwh_yr,1808731.9401643854
EL,pulp-and-paper,paper,paper-production-reference,374.82,kt,1.0,374.82,kt_yr,374.82
EL,pulp-and-paper,printing-and-media,printing-and-media-production-reference,93.70499999999996,kt paper eq.,1.0,93.70499999999996,kt_paper_eq_yr,93.70499999999996
EL,pulp-and-paper,pulp,pulp-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
EL,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,933.138923947879,TJ,277.78,259207.3302942418,mwh_yr,259207.3302942418
EL,transport-equipment,transport-equipment,transport-equipment-production-reference,131.10598381242167,TJ,277.78,36418.62018341449,mwh_yr,36418.62018341449
EL,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,614.4491904027112,TJ,277.78,170681.6961100651,mwh_yr,170681.6961100651
ES,chemical,other-chemicals,other-chemicals-production-reference,2659.02198331164,kt ethylene eq.,1.0,2659.02198331164,kt_ethylene_eq_yr,2659.02198331164
ES,chemical,pharmaceuticals,pharmaceuticals-production-reference,916.1059122016635,kt ethylene eq.,1.0,916.1059122016635,kt_ethylene_eq_yr,916.1059122016635
ES,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,56596.48694963803,TJ,277.78,15721372.144870449,mwh_yr,15721372.144870449
ES,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,21593.714335842516,TJ,277.78,5998301.968210334,mwh_yr,5998301.968210334
ES,non-ferrous-metals,alumina,alumina-production-reference,1550.319334246287,kt,1.0,1550.319334246287,kt_yr,1550.319334246287
ES,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,200.0,kt,1.0,200.0,kt_yr,200.0
ES,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
ES,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,1752.998333333333,kt lead eq.,1.0,1752.998333333333,kt_lead_eq_yr,1752.998333333333
ES,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,45331.69532933906,kt bricks eq.,1.0,45331.69532933906,kt_bricks_eq_yr,45331.69532933906
ES,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,37687.625097286225,TJ,277.78,10468868.499524167,mwh_yr,10468868.499524167
ES,pulp-and-paper,paper,paper-production-reference,6658.9,kt,1.0,6658.9,kt_yr,6658.9
ES,pulp-and-paper,printing-and-media,printing-and-media-production-reference,831.534725274725,kt paper eq.,1.0,831.534725274725,kt_paper_eq_yr,831.534725274725
ES,pulp-and-paper,pulp,pulp-production-reference,1748.84,kt,1.0,1748.84,kt_yr,1748.84
ES,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,6027.432887688272,TJ,277.78,1674300.307542048,mwh_yr,1674300.307542048
ES,transport-equipment,transport-equipment,transport-equipment-production-reference,13692.060570265334,TJ,277.78,3803380.585208304,mwh_yr,3803380.585208304
ES,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,11872.631702178114,TJ,277.78,3297979.634231036,mwh_yr,3297979.634231036
FI,chemical,other-chemicals,other-chemicals-production-reference,754.419016232864,kt ethylene eq.,1.0,754.419016232864,kt_ethylene_eq_yr,754.419016232864
FI,chemical,pharmaceuticals,pharmaceuticals-production-reference,157.7930543375121,kt ethylene eq.,1.0,157.7930543375121,kt_ethylene_eq_yr,157.7930543375121
FI,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,9072.964144907584,TJ,277.78,2520287.9801724283,mwh_yr,2520287.9801724283
FI,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,7799.359466303661,TJ,277.78,2166506.0725498307,mwh_yr,2166506.0725498307
FI,non-ferrous-metals,alumina,alumina-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
FI,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,0.0,kt,1.0,0.0,kt_yr,0.0
FI,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,25.405,kt,1.0,25.405,kt_yr,25.405
FI,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,988.1843868916226,kt lead eq.,1.0,988.1843868916226,kt_lead_eq_yr,988.1843868916226
FI,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,5613.386379586746,kt bricks eq.,1.0,5613.386379586746,kt_bricks_eq_yr,5613.386379586746
FI,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-reference,13025.049462147657,TJ,277.78,3618098.239595376,mwh_yr,3618098.239595376
FI,pulp-and-paper,paper,paper-production-reference,8660.0,kt,1.0,8660.0,kt_yr,8660.0
FI,pulp-and-paper,printing-and-media,printing-and-media-production-reference,298.7817258883252,kt paper eq.,1.0,298.7817258883252,kt_paper_eq_yr,298.7817258883252
FI,pulp-and-paper,pulp,pulp-production-reference,10960.0,kt,1.0,10960.0,kt_yr,10960.0
FI,textiles-and-leather,leather-and-textile,leather-and-textile-production-reference,450.81199922977356,TJ,277.78,125226.55714604649,mwh_yr,125226.55714604649
FI,transport-equipment,transport-equipment,transport-equipment-production-reference,1275.5299513553935,TJ,277.78,354316.70988750114,mwh_yr,354316.70988750114
FI,wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-reference,10503.603991758917,TJ,277.78,2917691.116830792,mwh_yr,2917691.116830792
FR,chemical,other-chemicals,other-chemicals-production-reference,8101.820397928086,kt ethylene eq.,1.0,8101.820397928086,kt_ethylene_eq_yr,8101.820397928086
FR,chemical,pharmaceuticals,pharmaceuticals-production-reference,1776.750354106116,kt ethylene eq.,1.0,1776.750354106116,kt_ethylene_eq_yr,1776.750354106116
FR,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,108001.82138030739,TJ,277.78,30000745.94302178,mwh_yr,30000745.94302178
FR,machinery-equipment,machinery-equipment,machinery-equipment-production-reference,40686.13102719267,TJ,277.78,11301793.476733578,mwh_yr,11301793.476733578
FR,non-ferrous-metals,alumina,alumina-production-reference,299.6724727807293,kt,1.0,299.6724727807293,kt_yr,299.6724727807293
FR,non-ferrous-metals,aluminium-primary,aluminium-primary-production-reference,440.0,kt,1.0,440.0,kt_yr,440.0
FR,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-reference,161.3744609715343,kt,1.0,161.3744609715343,kt_yr,161.3744609715343
FR,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-reference,1154.066666666667,kt lead eq.,1.0,1154.066666666667,kt_lead_eq_yr,1154.066666666667
